ID,Type,density,BIOIDEAL,BWRS,BWR-LS,HYSPR,MXBONNEL,NRTL,MR_avg,y_pred,std,Error
RP-3-74,RP,795.2,794.256,789.610395,780.189,766.594,789.655534,784.93291,784.2063065,794.206,1.37002,0.125
RP-3-75,RP,803.7,804.947,805.615428,800.07,745.194,805.711813,799.79495,793.5555318,800.806,1.43088,0.360084609
RP-3-76,RP,802.9,803.34,803.166006,796.738,781.841,799.689931,792.328634,796.1839285,804.733,1.71566,0.228297422
RP-3-77,RP,817.3,819.754,822.792539,818.721,803.619,817.387569,809.426893,815.2835002,821.829,4.65794,0.554141686
RP-3-78,RP,772.6,790.653,780.567854,764.17,764.194,778.467501,771.935048,774.9979005,774.893,1.33014,0.29679006
RP-3-79,RP,799.8,802.201,801.659588,795.684,747.137,801.015386,793.219152,790.1526877,798.421,2.12749,0.172418105
RP-3-80,RP,792,796.547,793.966711,785.745,751.877,792.568394,783.677348,784.0635755,791.162,1.82223,0.105808081
RP-3-81,RP,782.8,787.488,782.918704,776.511,770.249,785.042289,778.38251,780.0985838,784.115,0.787573,0.167986714
RP-3-82,RP,782.8,787.686,782.065242,775.604,771.546,785.404313,778.899299,780.200809,783.637,0.851461,0.106923863
RP-3-83,RP,782.6,786.531,782.195792,775.816,770.903,784.099776,777.611472,779.5261733,783.186,0.834544,0.07487861
RP-3-84,RP,777,782.878,780.997097,774.675,761.17,783.583459,777.299798,776.7672257,782.833,0.762563,0.750707851
RP-3-85,RP,785.4,791.199,791.967882,786.108,764.216,791.647916,784.354411,784.9155348,787.515,1.52732,0.269289534
RP-3-86,RP,780.4,790.16,783.237086,770.638,758.224,781.591553,774.483561,776.3890333,781.707,1.92552,0.167478216
RP-3-87,RP,792.3,791.97,790.748456,782.68,767.688,788.454674,782.2547,783.9659717,792.675,0.577304,0.047330557
RP-3-88,RP,794.2,793.775,793.021513,784.792,768.958,789.641868,783.560279,785.6247767,795.323,0.753566,0.141400151
RP-3-89,RP,794.4,793.414,792.924769,784.483,771.405,789.084304,783.091728,785.7338002,796.738,0.722465,0.294310171
RP-3-90,RP,794.2,793.909,793.289393,784.83,767.096,789.769238,783.827497,785.4535213,795.18,0.741575,0.123394611
RP-3-91,RP,795.1,794.525,793.830039,784.899,770.636,789.645405,784.000504,786.2559913,798.598,0.790115,0.439944661
RP-3-92,RP,790.2,794.821,791.380005,786.787,767.085,794.216205,788.043201,787.0554018,788.352,1.83726,0.233864844
RP-3-93,RP,790.2,794.716,791.230215,786.271,766.508,794.076502,788.147731,786.824908,788.408,1.81682,0.226778031
Y-RP3-01,Y-RP3,780.5,789.945,782.637287,770.475,760.378,781.417841,773.565257,776.4030642,779.271,0.926566,0.157463165
Y-RP3-02,Y-RP3,793.7,793.735,792.033476,784.888,766.398,790.708895,784.21656,785.3299885,792.493,0.711946,0.152072572
Y-RP3-03,Y-RP3,796,795.947,795.179614,787.756,771.842,791.606557,784.54872,787.8133152,797.144,0.965587,0.143718593
Y-RP3-04,Y-RP3,794.4,794.109,792.983629,785.45,769.214,790.233672,783.445597,785.905983,793.379,0.624557,0.128524673
Y-RP3-05,Y-RP3,796.1,795.798,795.528778,788.159,773.435,791.538126,784.589162,788.1746777,798.099,1.61985,0.251099108
Y-RP3-06,Y-RP3,780.5,790.755,783.116908,770.971,760.255,781.892553,774.129675,776.853356,779.886,1.00017,0.078667521
