ID,Type,viscosity,BIOIDEAL,BWR-LS,HYSPR,MXBONNEL,PR-BM,SR-POLAR,average MR,y_pred,y_std,Error
RP-3-27,RP,3.717,4.36233,4.40293,3.81181,4.40697,3.33448024,3.49455499,3.968845872,3.9595543,0.066804081,6.525539414
RP-3-28,RP,3.584,4.26635,4.28839,3.79336,4.30923,3.14222691,3.26405803,3.843935823,3.46540922,0.106076103,3.308894531
RP-3-29,RP,4.382,5.23505,5.26231,4.52051,5.30455,3.73074737,3.87536019,4.654754593,4.5959717,0.150506463,4.882968964
RP-3-30,RP,3.853,4.89431,4.90319,4.09429,4.94769,3.26081726,3.4076671,4.251327393,3.84940647,0.056405167,0.093265767
RP-3-31,RP,3.909,4.46983,4.51234,4.10528,4.51969,3.53619759,3.72241656,4.144292358,3.84365303,0.0355434,1.671705551
RP-3-32,RP,3.834,5.28044,5.28383,4.10532,5.3345,3.13342616,3.27057942,4.401349263,4.32691647,0.154487455,12.85645462
RP-3-33,RP,3.035,3.88427,3.89879,3.0757,3.90664,2.71800949,2.85304799,3.38940958,3.20964011,0.136962408,5.754204613
RP-3-34,RP,3.671,4.69182,4.72198,3.78594,4.73411,3.21987408,3.37531401,4.088173015,3.72856778,0.053946461,1.568177063
RP-3-35,RP,3.607,4.24984,4.27934,3.91366,4.29415,3.36936724,3.4907054,3.932843773,3.61838977,0.085818957,0.315768506
RP-3-36,RP,3.5,4.01639,4.04656,3.82305,4.05981,3.40814367,3.52819371,3.81369123,3.83377848,0.093744346,9.536528
RP-3-37,RP,3.708,4.38715,4.42641,3.80633,4.4323,3.34759344,3.47375274,3.978922697,3.96613994,0.066471003,6.961702805
RP-3-38,RP,4.041,5.3067,5.32126,4.22319,5.36508,3.31690429,3.48571697,4.503141877,4.00496409,0.086865825,0.891757238
RP-3-39,RP,3.913,5.21827,5.23947,3.88741,5.2642,3.20914483,3.3405555,4.359841722,4.27954021,0.143498174,9.36724278
RP-3-40,RP,4.351,5.46772,5.48299,4.41114,5.53413,3.50089777,3.64544868,4.673721075,4.42124723,0.160724296,1.614507699
RP-3-41,RP,4.616,6.05454,6.04996,5.06253,6.13749,3.70095711,3.80830672,5.135630638,5.01303662,0.282625548,8.601313258
RP-3-42,RP,3.175,4.00548,4.03068,3.20168,4.03255,2.88729487,3.03742967,3.53251909,3.5319796,0.153664901,11.24345197
RP-3-43,RP,3.328,3.91985,3.94584,3.37832,3.94204,3.00296714,3.14903992,3.556342843,3.57035126,0.143813266,7.282189303
RP-3-44,RP,3.298,4.02243,4.0476,3.33173,4.04821,2.94845027,3.0920513,3.581745262,3.09295775,0.174251477,6.217169497
RP-3-45,RP,3.207,4.01025,4.03944,3.04969,4.03854,2.74518345,2.91470617,3.466301603,3.46028343,0.172963578,7.897830683
RP-3-46,RP,3.852,4.44509,4.4834,3.84891,4.4936,3.32257497,3.48300301,4.012762997,3.71255641,0.045366799,3.620030893
RP-3-47,RP,3.971,5.32103,5.3257,4.11567,5.37847,3.24861186,3.36884079,4.459720442,3.95617916,0.090368819,0.373226895
RP-3-48,RP,3.759,5.10058,5.0865,3.80592,5.14743,2.95663074,3.1030729,4.200022273,4.13028205,0.143074743,9.877149508
RP-3-49,RP,3.633,4.41306,4.4488,3.7435,4.45559,3.26957127,3.41957605,3.958349553,3.6642423,0.052501601,0.859958712
RP-3-50,RP,3.99,4.84761,4.86859,4.07841,4.90438,3.41711098,3.52807658,4.274029593,3.88242807,0.047564408,2.696038346
RP-3-51,RP,3.312,4.24237,4.26698,3.36788,4.27652,2.93847353,3.06006632,3.692048308,3.43143516,0.094836257,3.606134058
RP-3-52,RP,3.544,4.39674,4.43365,3.5873,4.43485,3.138831,3.26355124,3.875820373,3.44926373,0.105864775,2.673145316
RP-3-53,RP,3.822,4.29433,4.34401,4.05077,4.34427,3.60055096,3.76291567,4.066141105,4.07064239,0.060311944,6.505557038
RP-3-54,RP,3.023,3.46254,3.48423,3.24875,3.48736,2.93225201,3.05383162,3.278160605,3.3266566,0.207502675,10.04487595
RP-3-55,RP,3.456,4.18303,4.21358,3.55515,4.22025,3.1058719,3.22072562,3.74976792,3.32091391,0.129685371,3.90874103
RP-3-56,RP,3.082,3.78225,3.79948,3.1064,3.80602,2.74841725,2.93321474,3.362630332,3.38014949,0.188786579,9.673896496
RP-3-57,RP,3.833,4.5985,4.62527,4.01096,4.64926,3.36298005,3.47635611,4.12055436,4.0982481,0.065591459,6.920117402
RP-3-58,RP,3.265,3.86448,3.88922,3.4483,3.89616,3.08814106,3.20492108,3.56520369,3.39696211,0.103081713,4.04171853
RP-3-59,RP,3.509,4.1845,4.21324,3.6114,4.22411,3.21887703,3.3436428,3.799294972,3.55755894,0.070303615,1.38383984
RP-3-60,RP,3.64,4.25348,4.27392,3.81657,4.29964,3.32642021,3.44313053,3.902193457,3.90199777,0.07450128,7.197740934
RP-3-61,RP,3.888,4.66979,4.6939,4.03399,4.72221,3.40988758,3.52609434,4.175978653,3.82610946,0.039331954,1.591834877
RP-3-62,RP,3.855,4.92351,4.95176,3.89507,4.97308,3.21554485,3.34077099,4.21662264,3.80285552,0.063221774,1.352645396
RP-3-63,RP,3.557,4.20358,4.21652,3.74012,4.24732,3.23213794,3.34047631,3.830025708,3.45805743,0.10745646,2.781629744
RP-3-64,RP,4.027,4.72502,4.75352,4.0635,4.7794,3.40492233,3.53816311,4.21075424,3.90920847,0.055542123,2.925044202
RP-3-65,RP,3.916,4.56615,4.59352,4.09252,4.61912,3.46489274,3.59475098,4.155158953,3.83114725,0.035366181,2.166822012
RP-3-66,RP,3.868,4.99444,5.01081,3.95062,5.04441,3.24958367,3.38692258,4.272797708,3.84423403,0.064640604,0.614425284
RP-3-67,RP,5.162,6.03748,6.05742,5.27769,6.13592,4.0474194,4.23066656,5.297765993,5.2876237,0.311607033,2.433624564
RP-3-68,RP,4.333,5.72825,5.75364,4.70171,5.79926,3.62220924,3.78390867,4.898162985,4.30759325,0.131950294,0.58635472
RP-3-69,RP,3.902,4.5893,4.60901,4.04913,4.64329,3.41188021,3.52604768,4.138109648,4.11785758,0.06247834,5.531972834
RP-3-70,RP,3.736,4.5221,4.54606,3.87144,4.57148,3.31183224,3.41967458,4.040431137,4.01886326,0.067710185,7.571286403
RP-3-71,RP,3.4,4.13555,4.1595,3.51415,4.16971,3.0692335,3.20072955,3.708145508,3.47635873,0.084939782,2.245845
RP-3-72,RP,3.851,4.75077,4.76782,4.00831,4.80374,3.34779531,3.47036049,4.191465967,3.82203441,0.045147493,0.752157621
RP-3-73,RP,3.873,5.64538,5.63235,4.03267,5.69205,3.03227113,3.18999826,4.537453232,4.42964411,0.209693146,14.37242732
RP-3-74,RP,4.169,4.8256,4.8785,4.36027,4.88539,3.73611218,3.89071394,4.42943102,4.24166248,0.088213861,1.742923483
RP-3-75,RP,3.16,4.07022,4.06539,3.42405,4.09115,2.85265873,2.97525327,3.579787,3.36371439,0.107173072,6.446657911
RP-3-76,RP,4.244,5.63137,5.63647,4.08747,5.69151,3.28996563,3.41986627,4.62610865,4.51751781,0.201110312,6.444811734
RP-3-77,RP,4.373,6.74313,6.69821,4.00525,6.80116,3.02523015,3.1396659,5.068774342,4.58428298,0.374892134,4.831533958
RP-3-78,RP,6.405,5.18914,5.33426,5.71269,5.30731,5.39740557,5.52849933,5.411550817,5.75839556,0.422389652,10.09530742
RP-3-79,RP,3.374,4.1028,4.10697,3.56921,4.13388,3.01412827,3.10625985,3.67220802,3.67757504,0.121051196,8.997481921
RP-3-80,RP,3.785,4.35722,4.38659,4.07601,4.40675,3.51319127,3.5879131,4.054612395,3.77989792,0.040564628,0.134797358
RP-3-81,RP,3.489,4.38259,4.41391,3.34708,4.42299,2.98880611,3.09843073,3.775634473,3.74578884,0.118466605,7.359955288
RP-3-82,RP,3.474,4.31374,4.35087,3.31412,4.35262,2.97235941,3.07605117,3.729960097,3.45021426,0.09265832,0.684678756
RP-3-83,RP,3.579,4.34517,4.37484,3.33743,4.38514,2.97744212,3.08853189,3.751425668,3.24804328,0.145465324,9.24718413
RP-3-84,RP,3.129,3.79504,3.80905,2.93526,3.81496,2.75052108,2.89282982,3.332943483,2.74240091,0.243745175,12.35535602
RP-3-85,RP,3.257,4.49251,4.49011,3.31631,4.51775,2.77393892,2.92307106,3.752281663,3.71599169,0.139500002,14.09246822
RP-3-86,RP,4.896,4.8455,4.9352,5.09624,4.93157,4.47290945,4.58579438,4.811202305,4.89125154,0.230516557,0.09698652
RP-3-87,RP,3.688,4.54121,4.5637,3.94552,4.59076,3.38716317,3.52181426,4.091694572,3.77138178,0.039325491,2.260894252
RP-3-88,RP,3.735,4.75399,4.77523,4.1179,4.80957,3.48547249,3.62487789,4.261173397,3.98368391,0.056310196,6.658203748
RP-3-89,RP,3.923,4.75686,4.77792,4.16348,4.81386,3.53613925,3.67659947,4.287476453,3.91993885,0.040285689,0.078030844
RP-3-90,RP,3.717,4.79908,4.82107,4.1801,4.85544,3.53625184,3.68305492,4.31249946,4.27912467,0.080343839,15.12307425
RP-3-91,RP,3.797,4.88527,4.91111,4.34431,4.94754,3.66850498,3.8235737,4.430051447,4.39515913,0.097125484,15.75346668
RP-3-92,RP,2.914,3.67859,3.69027,3.04844,3.70266,2.59610785,2.69548509,3.235258823,2.64135829,0.267469886,9.356270075
RP-3-93,RP,2.9,3.74822,3.76223,3.08896,3.77332,2.65085143,2.75631174,3.296648862,2.71743944,0.251271675,6.295191724
Y-RP3-01,Y-RP3,5.17,4.69461,4.7814,5.00589,4.77748,4.37158375,4.45682998,4.681298955,4.73028854,0.2043461,8.505057253
Y-RP3-02,Y-RP3,3.536,4.40391,4.42274,3.79679,4.4484,3.21590081,3.33386396,3.936934128,3.56430522,0.086053279,0.800486991
Y-RP3-03,Y-RP3,3.981,4.7403,4.75637,4.07495,4.79624,3.38178057,3.49552028,4.207526808,3.84163777,0.04298104,3.500683999
Y-RP3-04,Y-RP3,3.692,4.57006,4.58859,3.98275,4.62146,3.34655224,3.46147539,4.095147938,4.07438152,0.065059671,10.35702925
Y-RP3-05,Y-RP3,3.922,4.76783,4.7805,4.08898,4.82357,3.3818931,3.49676368,4.22325613,3.91845184,0.059754275,0.090468129
Y-RP3-06,Y-RP3,4.941,4.77205,4.86209,5.06033,4.85827,4.39021858,4.48336345,4.737720338,4.37896284,0.120357442,11.37496782
