ID,Type,viscosity,BIOIDEAL,BWR-LS,HYSPR,MXBONNEL,PR-BM,SR-POLAR,MR_avg,y_pred,std,Error
BF-01,BF,4.974,5.2315,5.24924,4.62187,5.30244,3.6101754,3.79238748,4.634602147,4.46784324,0.08052902,10.17605066
FT-SPK-01,FT-SPK,4.909,4.16878,4.29526,5.11073,4.22975,4.76648033,5.21613303,4.631188893,4.65177557,0.06818253,5.239853942
FT-SPK-02,FT-SPK,4.481,4.03924,4.15778,4.65571,4.09384,4.56584758,4.94212485,4.409090405,4.76704904,0.06372089,6.383598304
FT-SPK-03,FT-SPK,3.899,3.46346,3.50433,3.8025,3.49646,3.70428548,3.95641694,3.654575403,3.55332891,0.18416308,8.865634522
RP-3-01,RP,4.252,4.8454,4.87471,4.12866,4.90234,3.52496756,3.67808832,4.325694313,3.99767323,0.0456001,5.981344544
RP-3-02,RP,4.63,7.72338,7.63851,4.00938,7.7817,2.85022189,2.99723548,5.500071228,4.47252478,0.11870631,3.401192657
RP-3-03,RP,4.219,6.21386,6.18496,4.01298,6.27305,3.0860979,3.20270014,4.82894134,4.23711903,0.08883787,0.429462669
RP-3-04,RP,3.72,4.10186,4.1363,3.77343,4.14603,3.40541381,3.52504779,3.8480136,3.73568901,0.04249185,0.421747581
RP-3-05,RP,3.349,3.92659,3.95076,3.30621,3.9554,2.88614547,3.05030002,3.512567582,3.24633072,0.03875905,3.065669752
RP-3-06,RP,3.425,4.14406,4.17137,3.42433,4.18018,3.04879433,3.17359592,3.690388375,3.48670812,0.04115857,1.801696934
