ID,Type,flash_point,API,PM,TAG,R1,R4,average MR,y_pred,y_std,Error
RP-3-28,RP,43,50.3169461,40.9953,45.4851669,48.7588644,44.0320615,45.91766778,46.12122522,0.376029943,7.258663302
RP-3-29,RP,50,52.6917276,47.3012403,51.8586493,51.1077525,49.5567891,50.50323176,47.98730659,0.298968328,4.02538682
RP-3-30,RP,47,52.4791651,45.0820371,49.6374299,50.4434359,47.4830375,49.0250211,46.94302671,0.509981026,0.121219766
RP-3-31,RP,47,56.108904,47.4727901,52.0319079,52.8319557,47.9931002,51.28773158,48.201089,0.332958425,2.555508511
RP-3-32,RP,44,51.6161942,42.4218228,47.017138,50.0806017,43.8441011,46.99597156,45.21447001,0.612846345,2.760159114
RP-3-33,RP,42,48.809657,40.746891,45.1307732,46.9941462,43.7549058,45.08727464,44.12026822,1.019631946,5.048257667
RP-3-34,RP,49,52.0078909,46.5205505,51.022841,49.8495831,47.5225012,49.38467334,47.51400403,0.243325292,3.032644837
RP-3-35,RP,48,51.4123456,44.4005958,48.918642,49.4512983,45.1771008,47.8719965,46.09435017,0.569699546,3.970103813
RP-3-36,RP,47,50.7819015,44.5789865,49.0434713,49.162446,45.9343718,47.90023542,46.24213613,0.572900382,1.612476319
RP-3-37,RP,46,51.0034706,43.0159692,47.5434338,49.1493956,43.8993148,46.9223168,46.50139297,0.278433822,1.089984717
RP-3-38,RP,47,51.8954488,44.66283,49.2381954,50.4507441,46.4369816,48.53683998,46.62193217,0.528701958,0.804399638
RP-3-39,RP,47,52.6124926,44.6655211,49.265911,49.7822537,38.9827406,47.0617838,46.4391999,0.348988868,1.193191702
RP-3-40,RP,47,52.4947871,45.1674754,49.7804605,50.4940334,45.9548205,48.77831538,46.24854162,0.445082277,1.598847617
RP-3-41,RP,44,57.5336046,46.3679842,51.1007808,54.0390896,43.9926921,50.60683026,47.10411029,0.655791148,7.054796114
RP-3-42,RP,48,49.5708673,45.2489009,49.5877128,47.7380782,47.9620472,48.02152128,46.56409346,0.632714814,2.991471958
RP-3-43,RP,46,50.5604509,42.9785756,47.4625232,48.8700935,44.4694182,46.86821228,46.4977835,0.281572613,1.082138043
RP-3-44,RP,45,50.4591477,42.4555782,46.9482451,48.5611514,43.6004052,46.40490552,44.89342997,0.648421534,0.236822289
RP-3-45,RP,45,48.6558936,42.4597942,46.7902228,46.5065643,46.1474393,46.11198284,44.82691079,0.709952068,0.384642689
RP-3-46,RP,45,51.6160305,43.0493225,47.576472,49.6072113,44.796209,47.32904906,45.59313822,0.66104397,1.318084933
RP-3-47,RP,46,51.5819976,44.1468335,48.7138466,50.1552606,46.3714353,48.19387472,47.04163547,0.225470234,2.264424935
RP-3-48,RP,42,50.6557673,44.7990542,49.2566454,48.7213257,48.5661487,48.39978826,46.72175864,0.588301328,11.24228248
RP-3-49,RP,45,50.9508446,45.0959604,49.6041571,49.3488214,45.9825038,48.19645746,47.04214987,0.22605548,4.538110822
RP-3-50,RP,44,51.8657482,43.3184082,47.8461915,49.9125149,46.3139106,47.85135468,46.89471446,0.24512538,6.5788965
RP-3-51,RP,43,49.5496905,40.327564,44.7790478,47.5986286,42.9766919,45.04632456,43.95092329,1.041307716,2.211449512
RP-3-52,RP,42,50.529357,41.9059578,46.4296057,48.8284199,43.3739798,46.21346404,44.78115633,0.686128673,6.621800786
RP-3-53,RP,50,54.2110356,48.4722767,52.9865596,51.5113686,48.2736976,51.09098762,47.56623041,0.570591235,4.86753918
RP-3-54,RP,45,49.3650844,40.7561839,45.1934787,47.6690713,39.7353101,44.54382568,43.50503262,1.112675385,3.322149733
RP-3-55,RP,44,50.4638565,41.5280815,46.0240774,48.421818,41.9027389,45.66811446,44.43238316,0.761467046,0.982689
